inventory_id,product_id,warehouse_id,snapshot_date,quantity_on_hand,reorder_level,is_below_reorder
INV-P0440-WH-EAST-20231222,P0440,WH-EAST,2023-12-22,707,143,False
INV-P0155-WH-CENTRAL-20230625,P0155,WH-CENTRAL,2023-06-25,607,123,False
INV-P0031-WH-EAST-20220401,P0031,WH-EAST,2022-04-01,149,96,False
INV-P0427-WH-WEST-20220101,P0427,WH-WEST,2022-01-01,868,59,False
INV-P0115-WH-EAST-20220101,P0115,WH-EAST,2022-01-01,548,46,False
INV-P0411-WH-EAST-20220131,P0411,WH-EAST,2022-01-31,896,103,False
INV-P0073-WH-NORTH-20220829,P0073,WH-NORTH,2022-08-29,879,26,False
INV-P0381-WH-NORTH-20230923,P0381,WH-NORTH,2023-09-23,1078,142,False
INV-P0202-WH-WEST-20231222,P0202,WH-WEST,2023-12-22,1237,113,False
INV-P0392-WH-SOUTH-20230923,P0392,WH-SOUTH,2023-09-23,163,136,False
INV-P0304-WH-CENTRAL-20220401,P0304,WH-CENTRAL,2022-04-01,1105,87,False
INV-P0354-WH-SOUTH-20230923,P0354,WH-SOUTH,2023-09-23,260,67,False
INV-P0211-WH-EAST-20220401,P0211,WH-EAST,2022-04-01,0,69,True
INV-P0156-WH-WEST-20220829,P0156,WH-WEST,2022-08-29,295,30,False
INV-P0043-WH-CENTRAL-20230725,P0043,WH-CENTRAL,2023-07-25,920,61,False
INV-P0403-WH-SOUTH-20230426,P0403,WH-SOUTH,2023-04-26,889,61,False
INV-P0208-WH-WEST-20220131,P0208,WH-WEST,2022-01-31,72,111,True
INV-P0440-WH-SOUTH-20220829,P0440,WH-SOUTH,2022-08-29,649,46,False
INV-P0451-WH-CENTRAL-20221227,P0451,WH-CENTRAL,2022-12-27,360,30,False
INV-P0258-WH-WEST-20230625,P0258,WH-WEST,2023-06-25,1407,41,False
INV-P0024-WH-NORTH-20221028,P0024,WH-NORTH,2022-10-28,695,118,False
INV-P0293-WH-EAST-20220928,P0293,WH-EAST,2022-09-28,1352,99,False
INV-P0072-WH-WEST-20230426,P0072,WH-WEST,2023-04-26,1081,133,False
INV-P0373-WH-EAST-20231222,P0373,WH-EAST,2023-12-22,1396,76,False
INV-P0085-WH-SOUTH-20220531,P0085,WH-SOUTH,2022-05-31,383,26,False
INV-P0358-WH-NORTH-20220401,P0358,WH-NORTH,2022-04-01,937,21,False
INV-P0003-WH-NORTH-20231122,P0003,WH-NORTH,2023-11-22,663,141,False
INV-P0155-WH-NORTH-20230725,P0155,WH-NORTH,2023-07-25,619,147,False
INV-P0296-WH-SOUTH-20221127,P0296,WH-SOUTH,2022-11-27,1118,46,False
INV-P0081-WH-CENTRAL-20230923,P0081,WH-CENTRAL,2023-09-23,921,22,False
INV-P0107-WH-SOUTH-20230327,P0107,WH-SOUTH,2023-03-27,761,60,False
INV-P0461-WH-CENTRAL-20220630,P0461,WH-CENTRAL,2022-06-30,408,100,False
INV-P0378-WH-EAST-20230225,P0378,WH-EAST,2023-02-25,70,117,True
INV-P0234-WH-WEST-20220928,P0234,WH-WEST,2022-09-28,1009,106,False
INV-P0338-WH-EAST-20221227,P0338,WH-EAST,2022-12-27,874,39,False
INV-P0204-WH-NORTH-20221127,P0204,WH-NORTH,2022-11-27,1323,126,False
INV-P0137-WH-NORTH-20220531,P0137,WH-NORTH,2022-05-31,542,102,False
INV-P0088-WH-CENTRAL-20220630,P0088,WH-CENTRAL,2022-06-30,1027,146,False
INV-P0379-WH-EAST-20230126,P0379,WH-EAST,2023-01-26,654,125,False
INV-P0217-WH-EAST-20230824,P0217,WH-EAST,2023-08-24,1015,43,False
INV-P0054-WH-EAST-20221028,P0054,WH-EAST,2022-10-28,1159,31,False
INV-P0440-WH-WEST-20221028,P0440,WH-WEST,2022-10-28,164,136,False
INV-P0466-WH-NORTH-20220101,P0466,WH-NORTH,2022-01-01,321,30,False
INV-P0326-WH-WEST-20220101,P0326,WH-WEST,2022-01-01,860,62,False
INV-P0112-WH-SOUTH-20220302,P0112,WH-SOUTH,2022-03-02,704,90,False
INV-P0253-WH-SOUTH-20230225,P0253,WH-SOUTH,2023-02-25,1375,99,False
INV-P0398-WH-WEST-20230426,P0398,WH-WEST,2023-04-26,1045,106,False
INV-P0397-WH-NORTH-20230725,P0397,WH-NORTH,2023-07-25,971,79,False
INV-P0416-WH-SOUTH-20231122,P0416,WH-SOUTH,2023-11-22,221,35,False
INV-P0029-WH-NORTH-20220302,P0029,WH-NORTH,2022-03-02,716,129,False
INV-P0315-WH-WEST-20221127,P0315,WH-WEST,2022-11-27,727,93,False
INV-P0018-WH-WEST-20230625,P0018,WH-WEST,2023-06-25,1577,94,False
INV-P0149-WH-NORTH-20220531,P0149,WH-NORTH,2022-05-31,770,94,False
INV-P0086-WH-EAST-20230225,P0086,WH-EAST,2023-02-25,407,90,False
INV-P0172-WH-NORTH-20220302,P0172,WH-NORTH,2022-03-02,619,63,False
INV-P0015-WH-CENTRAL-20230426,P0015,WH-CENTRAL,2023-04-26,642,149,False
INV-P0162-WH-EAST-20230526,P0162,WH-EAST,2023-05-26,769,81,False
INV-P0231-WH-CENTRAL-20230824,P0231,WH-CENTRAL,2023-08-24,1520,143,False
INV-P0418-WH-WEST-20220401,P0418,WH-WEST,2022-04-01,789,127,False
INV-P0031-WH-CENTRAL-20230526,P0031,WH-CENTRAL,2023-05-26,693,42,False
INV-P0026-WH-WEST-20231023,P0026,WH-WEST,2023-10-23,1481,110,False
INV-P0175-WH-SOUTH-20221028,P0175,WH-SOUTH,2022-10-28,1082,111,False
INV-P0168-WH-CENTRAL-20220928,P0168,WH-CENTRAL,2022-09-28,843,70,False
INV-P0389-WH-SOUTH-20230225,P0389,WH-SOUTH,2023-02-25,1004,76,False
INV-P0326-WH-EAST-20230725,P0326,WH-EAST,2023-07-25,24,57,True
INV-P0068-WH-EAST-20230327,P0068,WH-EAST,2023-03-27,726,68,False
INV-P0080-WH-WEST-20220131,P0080,WH-WEST,2022-01-31,338,138,False
INV-P0011-WH-WEST-20220928,P0011,WH-WEST,2022-09-28,841,148,False
INV-P0261-WH-EAST-20231023,P0261,WH-EAST,2023-10-23,1520,95,False
INV-P0227-WH-WEST-20230725,P0227,WH-WEST,2023-07-25,1296,63,False
INV-P0373-WH-NORTH-20220401,P0373,WH-NORTH,2022-04-01,49,26,False
INV-P0276-WH-CENTRAL-20220730,P0276,WH-CENTRAL,2022-07-30,431,56,False
INV-P0291-WH-NORTH-20230923,P0291,WH-NORTH,2023-09-23,594,82,False
INV-P0295-WH-CENTRAL-20231222,P0295,WH-CENTRAL,2023-12-22,1147,61,False
INV-P0093-WH-NORTH-20221227,P0093,WH-NORTH,2022-12-27,325,57,False
INV-P0191-WH-WEST-20231023,P0191,WH-WEST,2023-10-23,1684,84,False
INV-P0080-WH-EAST-20221227,P0080,WH-EAST,2022-12-27,600,77,False
INV-P0417-WH-CENTRAL-20231023,P0417,WH-CENTRAL,2023-10-23,355,62,False
INV-P0074-WH-EAST-20230225,P0074,WH-EAST,2023-02-25,110,128,True
INV-P0448-WH-CENTRAL-20230327,P0448,WH-CENTRAL,2023-03-27,942,88,False
INV-P0094-WH-CENTRAL-20230725,P0094,WH-CENTRAL,2023-07-25,1300,82,False
INV-P0277-WH-SOUTH-20230824,P0277,WH-SOUTH,2023-08-24,734,123,False
INV-P0106-WH-SOUTH-20220302,P0106,WH-SOUTH,2022-03-02,633,48,False
INV-P0105-WH-EAST-20220928,P0105,WH-EAST,2022-09-28,378,54,False
INV-P0399-WH-CENTRAL-20220829,P0399,WH-CENTRAL,2022-08-29,667,146,False
INV-P0419-WH-EAST-20221028,P0419,WH-EAST,2022-10-28,844,123,False
INV-P0072-WH-SOUTH-20230225,P0072,WH-SOUTH,2023-02-25,887,135,False
INV-P0338-WH-EAST-20220401,P0338,WH-EAST,2022-04-01,588,39,False
INV-P0074-WH-EAST-20231222,P0074,WH-EAST,2023-12-22,448,128,False
INV-P0304-WH-EAST-20230327,P0304,WH-EAST,2023-03-27,1413,120,False
INV-P0434-WH-EAST-20220928,P0434,WH-EAST,2022-09-28,958,123,False
INV-P0389-WH-WEST-20230923,P0389,WH-WEST,2023-09-23,922,127,False
INV-P0469-WH-WEST-20221028,P0469,WH-WEST,2022-10-28,1044,109,False
INV-P0065-WH-EAST-20230126,P0065,WH-EAST,2023-01-26,853,104,False
INV-P0169-WH-EAST-20220302,P0169,WH-EAST,2022-03-02,463,65,False
INV-P0244-WH-CENTRAL-20221227,P0244,WH-CENTRAL,2022-12-27,1252,52,False
INV-P0061-WH-SOUTH-20220401,P0061,WH-SOUTH,2022-04-01,922,88,False
INV-P0080-WH-EAST-20221028,P0080,WH-EAST,2022-10-28,690,77,False
INV-P0251-WH-CENTRAL-20220501,P0251,WH-CENTRAL,2022-05-01,260,59,False
INV-P0385-WH-NORTH-20220131,P0385,WH-NORTH,2022-01-31,54,142,True
INV-P0398-WH-EAST-20220101,P0398,WH-EAST,2022-01-01,218,114,False
INV-P0400-WH-CENTRAL-20220501,P0400,WH-CENTRAL,2022-05-01,812,139,False
INV-P0275-WH-CENTRAL-20220630,P0275,WH-CENTRAL,2022-06-30,218,134,False
INV-P0312-WH-NORTH-20230824,P0312,WH-NORTH,2023-08-24,1446,73,False
INV-P0371-WH-SOUTH-20220531,P0371,WH-SOUTH,2022-05-31,109,73,False
INV-P0073-WH-EAST-20231122,P0073,WH-EAST,2023-11-22,1837,121,False
INV-P0200-WH-WEST-20221127,P0200,WH-WEST,2022-11-27,617,142,False
INV-P0004-WH-CENTRAL-20220131,P0004,WH-CENTRAL,2022-01-31,94,84,False
INV-P0131-WH-CENTRAL-20220829,P0131,WH-CENTRAL,2022-08-29,447,35,False
INV-P0199-WH-WEST-20230225,P0199,WH-WEST,2023-02-25,454,129,False
INV-P0200-WH-SOUTH-20230327,P0200,WH-SOUTH,2023-03-27,638,85,False
INV-P0123-WH-CENTRAL-20220928,P0123,WH-CENTRAL,2022-09-28,1009,140,False
INV-P0130-WH-CENTRAL-20230526,P0130,WH-CENTRAL,2023-05-26,283,80,False
INV-P0271-WH-EAST-20230923,P0271,WH-EAST,2023-09-23,329,116,False
INV-P0256-WH-EAST-20221028,P0256,WH-EAST,2022-10-28,1248,38,False
INV-P0387-WH-SOUTH-20231023,P0387,WH-SOUTH,2023-10-23,1149,84,False
INV-P0203-WH-EAST-20221127,P0203,WH-EAST,2022-11-27,494,128,False
INV-P0036-WH-SOUTH-20220302,P0036,WH-SOUTH,2022-03-02,234,47,False
INV-P0421-WH-CENTRAL-20221127,P0421,WH-CENTRAL,2022-11-27,456,115,False
INV-P0222-WH-EAST-20230526,P0222,WH-EAST,2023-05-26,1414,29,False
INV-P0292-WH-WEST-20231222,P0292,WH-WEST,2023-12-22,1339,53,False
INV-P0269-WH-CENTRAL-20220401,P0269,WH-CENTRAL,2022-04-01,476,84,False
INV-P0194-WH-WEST-20230725,P0194,WH-WEST,2023-07-25,903,89,False
INV-P0330-WH-NORTH-20230824,P0330,WH-NORTH,2023-08-24,1491,93,False
INV-P0250-WH-SOUTH-20230625,P0250,WH-SOUTH,2023-06-25,558,60,False
INV-P0252-WH-NORTH-20220730,P0252,WH-NORTH,2022-07-30,1065,86,False
INV-P0461-WH-SOUTH-20220302,P0461,WH-SOUTH,2022-03-02,798,40,False
INV-P0387-WH-NORTH-20231023,P0387,WH-NORTH,2023-10-23,535,74,False
INV-P0189-WH-SOUTH-20220928,P0189,WH-SOUTH,2022-09-28,820,117,False
INV-P0362-WH-SOUTH-20230126,P0362,WH-SOUTH,2023-01-26,604,136,False
INV-P0047-WH-CENTRAL-20231222,P0047,WH-CENTRAL,2023-12-22,676,88,False
INV-P0241-WH-WEST-20230126,P0241,WH-WEST,2023-01-26,1359,96,False
INV-P0473-WH-EAST-20220302,P0473,WH-EAST,2022-03-02,928,84,False
INV-P0138-WH-EAST-20220501,P0138,WH-EAST,2022-05-01,168,127,False
INV-P0365-WH-NORTH-20230126,P0365,WH-NORTH,2023-01-26,740,77,False
INV-P0320-WH-CENTRAL-20230923,P0320,WH-CENTRAL,2023-09-23,1008,93,False
INV-P0068-WH-CENTRAL-20220401,P0068,WH-CENTRAL,2022-04-01,983,148,False
INV-P0290-WH-EAST-20231122,P0290,WH-EAST,2023-11-22,1439,54,False
INV-P0402-WH-EAST-20230923,P0402,WH-EAST,2023-09-23,1528,63,False
INV-P0419-WH-CENTRAL-20220302,P0419,WH-CENTRAL,2022-03-02,529,90,False
INV-P0422-WH-NORTH-20220101,P0422,WH-NORTH,2022-01-01,369,27,False
INV-P0303-WH-SOUTH-20230126,P0303,WH-SOUTH,2023-01-26,303,68,False
INV-P0002-WH-WEST-20221227,P0002,WH-WEST,2022-12-27,1229,139,False
INV-P0034-WH-CENTRAL-20231122,P0034,WH-CENTRAL,2023-11-22,929,94,False
INV-P0215-WH-NORTH-20231122,P0215,WH-NORTH,2023-11-22,1523,82,False
INV-P0378-WH-CENTRAL-20220101,P0378,WH-CENTRAL,2022-01-01,295,50,False
INV-P0309-WH-CENTRAL-20220630,P0309,WH-CENTRAL,2022-06-30,370,64,False
INV-P0377-WH-NORTH-20231122,P0377,WH-NORTH,2023-11-22,632,59,False
INV-P0403-WH-EAST-20230625,P0403,WH-EAST,2023-06-25,789,96,False
INV-P0064-WH-CENTRAL-20220928,P0064,WH-CENTRAL,2022-09-28,1290,42,False
INV-P0130-WH-SOUTH-20230225,P0130,WH-SOUTH,2023-02-25,665,146,False
INV-P0123-WH-WEST-20220101,P0123,WH-WEST,2022-01-01,103,46,False
INV-P0431-WH-SOUTH-20230426,P0431,WH-SOUTH,2023-04-26,1717,146,False
INV-P0480-WH-SOUTH-20230824,P0480,WH-SOUTH,2023-08-24,1863,22,False
INV-P0174-WH-NORTH-20220928,P0174,WH-NORTH,2022-09-28,382,141,False
INV-P0046-WH-CENTRAL-20231122,P0046,WH-CENTRAL,2023-11-22,319,114,False
INV-P0326-WH-CENTRAL-20230725,P0326,WH-CENTRAL,2023-07-25,789,91,False
INV-P0017-WH-WEST-20230824,P0017,WH-WEST,2023-08-24,838,134,False
INV-P0414-WH-CENTRAL-20231023,P0414,WH-CENTRAL,2023-10-23,463,67,False
INV-P0311-WH-CENTRAL-20220829,P0311,WH-CENTRAL,2022-08-29,477,33,False
INV-P0243-WH-SOUTH-20220630,P0243,WH-SOUTH,2022-06-30,1195,90,False
INV-P0074-WH-NORTH-20220928,P0074,WH-NORTH,2022-09-28,497,94,False
INV-P0056-WH-CENTRAL-20230725,P0056,WH-CENTRAL,2023-07-25,1322,114,False
INV-P0349-WH-NORTH-20220302,P0349,WH-NORTH,2022-03-02,19,79,True
INV-P0080-WH-CENTRAL-20231122,P0080,WH-CENTRAL,2023-11-22,1256,21,False
INV-P0180-WH-CENTRAL-20230725,P0180,WH-CENTRAL,2023-07-25,232,22,False
INV-P0406-WH-WEST-20220302,P0406,WH-WEST,2022-03-02,940,116,False
INV-P0212-WH-WEST-20220730,P0212,WH-WEST,2022-07-30,348,123,False
INV-P0449-WH-WEST-20231222,P0449,WH-WEST,2023-12-22,863,88,False
INV-P0173-WH-SOUTH-20230625,P0173,WH-SOUTH,2023-06-25,507,77,False
INV-P0012-WH-SOUTH-20231023,P0012,WH-SOUTH,2023-10-23,937,76,False
INV-P0089-WH-NORTH-20231222,P0089,WH-NORTH,2023-12-22,722,127,False
INV-P0134-WH-CENTRAL-20220730,P0134,WH-CENTRAL,2022-07-30,1034,147,False
INV-P0102-WH-EAST-20220401,P0102,WH-EAST,2022-04-01,864,71,False
INV-P0210-WH-CENTRAL-20230526,P0210,WH-CENTRAL,2023-05-26,892,36,False
INV-P0262-WH-SOUTH-20231122,P0262,WH-SOUTH,2023-11-22,1539,97,False
INV-P0237-WH-SOUTH-20230526,P0237,WH-SOUTH,2023-05-26,95,70,False
INV-P0439-WH-NORTH-20231122,P0439,WH-NORTH,2023-11-22,548,62,False
INV-P0394-WH-EAST-20220302,P0394,WH-EAST,2022-03-02,135,24,False
INV-P0231-WH-CENTRAL-20231023,P0231,WH-CENTRAL,2023-10-23,1448,143,False
INV-P0315-WH-SOUTH-20220829,P0315,WH-SOUTH,2022-08-29,470,137,False
INV-P0189-WH-SOUTH-20220730,P0189,WH-SOUTH,2022-07-30,594,117,False
INV-P0037-WH-CENTRAL-20230225,P0037,WH-CENTRAL,2023-02-25,1282,24,False
INV-P0026-WH-NORTH-20220630,P0026,WH-NORTH,2022-06-30,838,103,False
INV-P0096-WH-CENTRAL-20230126,P0096,WH-CENTRAL,2023-01-26,923,74,False
INV-P0417-WH-WEST-20220131,P0417,WH-WEST,2022-01-31,803,139,False
INV-P0257-WH-WEST-20230327,P0257,WH-WEST,2023-03-27,622,47,False
INV-P0221-WH-WEST-20221028,P0221,WH-WEST,2022-10-28,835,27,False
INV-P0337-WH-SOUTH-20220302,P0337,WH-SOUTH,2022-03-02,948,125,False
INV-P0355-WH-EAST-20230625,P0355,WH-EAST,2023-06-25,701,135,False
INV-P0338-WH-CENTRAL-20220131,P0338,WH-CENTRAL,2022-01-31,574,87,False
INV-P0458-WH-CENTRAL-20231023,P0458,WH-CENTRAL,2023-10-23,1207,62,False
INV-P0254-WH-NORTH-20230126,P0254,WH-NORTH,2023-01-26,438,26,False
INV-P0287-WH-WEST-20220302,P0287,WH-WEST,2022-03-02,446,64,False
INV-P0014-WH-NORTH-20230126,P0014,WH-NORTH,2023-01-26,572,127,False
INV-P0166-WH-WEST-20230327,P0166,WH-WEST,2023-03-27,304,106,False
INV-P0227-WH-SOUTH-20231023,P0227,WH-SOUTH,2023-10-23,1274,130,False
INV-P0462-WH-WEST-20230625,P0462,WH-WEST,2023-06-25,1214,29,False
INV-P0349-WH-SOUTH-20230824,P0349,WH-SOUTH,2023-08-24,929,49,False
INV-P0253-WH-NORTH-20220531,P0253,WH-NORTH,2022-05-31,676,112,False
INV-P0223-WH-SOUTH-20231023,P0223,WH-SOUTH,2023-10-23,1319,132,False
INV-P0313-WH-SOUTH-20220101,P0313,WH-SOUTH,2022-01-01,1055,42,False
INV-P0183-WH-SOUTH-20231222,P0183,WH-SOUTH,2023-12-22,1310,24,False
INV-P0423-WH-NORTH-20230426,P0423,WH-NORTH,2023-04-26,541,137,False
INV-P0469-WH-CENTRAL-20231023,P0469,WH-CENTRAL,2023-10-23,932,76,False
INV-P0433-WH-NORTH-20230225,P0433,WH-NORTH,2023-02-25,530,52,False
INV-P0170-WH-NORTH-20220531,P0170,WH-NORTH,2022-05-31,257,88,False
INV-P0217-WH-EAST-20221028,P0217,WH-EAST,2022-10-28,848,43,False
INV-P0224-WH-SOUTH-20230526,P0224,WH-SOUTH,2023-05-26,977,103,False
INV-P0134-WH-EAST-20230824,P0134,WH-EAST,2023-08-24,532,148,False
INV-P0449-WH-SOUTH-20220928,P0449,WH-SOUTH,2022-09-28,980,58,False
INV-P0188-WH-CENTRAL-20230725,P0188,WH-CENTRAL,2023-07-25,885,74,False
INV-P0054-WH-SOUTH-20220101,P0054,WH-SOUTH,2022-01-01,497,53,False
INV-P0057-WH-EAST-20220531,P0057,WH-EAST,2022-05-31,362,137,False
INV-P0220-WH-NORTH-20220101,P0220,WH-NORTH,2022-01-01,526,95,False
INV-P0170-WH-NORTH-20230126,P0170,WH-NORTH,2023-01-26,351,88,False
INV-P0315-WH-EAST-20230824,P0315,WH-EAST,2023-08-24,523,41,False
INV-P0420-WH-EAST-20230824,P0420,WH-EAST,2023-08-24,1224,57,False
INV-P0032-WH-NORTH-20220730,P0032,WH-NORTH,2022-07-30,665,22,False
INV-P0233-WH-EAST-20230625,P0233,WH-EAST,2023-06-25,1279,97,False
INV-P0258-WH-CENTRAL-20231122,P0258,WH-CENTRAL,2023-11-22,499,80,False
INV-P0037-WH-NORTH-20220401,P0037,WH-NORTH,2022-04-01,651,60,False
INV-P0328-WH-NORTH-20220302,P0328,WH-NORTH,2022-03-02,767,42,False
INV-P0181-WH-EAST-20221127,P0181,WH-EAST,2022-11-27,996,96,False
INV-P0049-WH-CENTRAL-20220101,P0049,WH-CENTRAL,2022-01-01,859,87,False
INV-P0275-WH-EAST-20220829,P0275,WH-EAST,2022-08-29,271,147,False
INV-P0193-WH-SOUTH-20231222,P0193,WH-SOUTH,2023-12-22,434,123,False
INV-P0430-WH-CENTRAL-20220131,P0430,WH-CENTRAL,2022-01-31,948,103,False
INV-P0208-WH-NORTH-20220531,P0208,WH-NORTH,2022-05-31,212,124,False
INV-P0158-WH-SOUTH-20231023,P0158,WH-SOUTH,2023-10-23,915,68,False
INV-P0386-WH-NORTH-20230725,P0386,WH-NORTH,2023-07-25,840,109,False
INV-P0258-WH-CENTRAL-20220101,P0258,WH-CENTRAL,2022-01-01,531,80,False
INV-P0365-WH-EAST-20220401,P0365,WH-EAST,2022-04-01,102,51,False
INV-P0171-WH-CENTRAL-20220630,P0171,WH-CENTRAL,2022-06-30,313,100,False
INV-P0136-WH-CENTRAL-20220630,P0136,WH-CENTRAL,2022-06-30,426,44,False
INV-P0423-WH-SOUTH-20231122,P0423,WH-SOUTH,2023-11-22,1097,22,False
INV-P0417-WH-SOUTH-20230225,P0417,WH-SOUTH,2023-02-25,991,68,False
INV-P0406-WH-CENTRAL-20230923,P0406,WH-CENTRAL,2023-09-23,622,57,False
INV-P0130-WH-EAST-20221227,P0130,WH-EAST,2022-12-27,621,36,False
INV-P0004-WH-EAST-20220630,P0004,WH-EAST,2022-06-30,516,33,False
INV-P0322-WH-WEST-20230725,P0322,WH-WEST,2023-07-25,1044,29,False
INV-P0121-WH-EAST-20231222,P0121,WH-EAST,2023-12-22,235,26,False
INV-P0359-WH-NORTH-20221227,P0359,WH-NORTH,2022-12-27,871,29,False
INV-P0367-WH-SOUTH-20230126,P0367,WH-SOUTH,2023-01-26,314,136,False
INV-P0242-WH-CENTRAL-20221028,P0242,WH-CENTRAL,2022-10-28,933,145,False
INV-P0146-WH-CENTRAL-20221227,P0146,WH-CENTRAL,2022-12-27,129,124,False
INV-P0113-WH-SOUTH-20230426,P0113,WH-SOUTH,2023-04-26,831,93,False
INV-P0181-WH-WEST-20230327,P0181,WH-WEST,2023-03-27,916,85,False
INV-P0393-WH-NORTH-20231222,P0393,WH-NORTH,2023-12-22,470,134,False
INV-P0155-WH-NORTH-20221028,P0155,WH-NORTH,2022-10-28,524,147,False
INV-P0156-WH-CENTRAL-20221028,P0156,WH-CENTRAL,2022-10-28,419,72,False
INV-P0103-WH-CENTRAL-20220928,P0103,WH-CENTRAL,2022-09-28,300,52,False
INV-P0001-WH-CENTRAL-20220928,P0001,WH-CENTRAL,2022-09-28,940,53,False
INV-P0068-WH-SOUTH-20220501,P0068,WH-SOUTH,2022-05-01,738,74,False
INV-P0150-WH-WEST-20230725,P0150,WH-WEST,2023-07-25,634,49,False
INV-P0326-WH-EAST-20220101,P0326,WH-EAST,2022-01-01,277,57,False
INV-P0302-WH-NORTH-20221028,P0302,WH-NORTH,2022-10-28,844,125,False
INV-P0394-WH-CENTRAL-20230625,P0394,WH-CENTRAL,2023-06-25,877,54,False
INV-P0117-WH-NORTH-20220501,P0117,WH-NORTH,2022-05-01,346,103,False
INV-P0369-WH-CENTRAL-20220829,P0369,WH-CENTRAL,2022-08-29,334,88,False
INV-P0078-WH-NORTH-20220928,P0078,WH-NORTH,2022-09-28,607,129,False
INV-P0040-WH-EAST-20231122,P0040,WH-EAST,2023-11-22,734,100,False
INV-P0167-WH-SOUTH-20220928,P0167,WH-SOUTH,2022-09-28,403,26,False
INV-P0475-WH-CENTRAL-20230824,P0475,WH-CENTRAL,2023-08-24,697,49,False
INV-P0012-WH-CENTRAL-20220302,P0012,WH-CENTRAL,2022-03-02,318,64,False
INV-P0384-WH-NORTH-20231222,P0384,WH-NORTH,2023-12-22,164,124,False
INV-P0065-WH-SOUTH-20220928,P0065,WH-SOUTH,2022-09-28,401,99,False
INV-P0463-WH-CENTRAL-20230225,P0463,WH-CENTRAL,2023-02-25,679,36,False
INV-P0340-WH-CENTRAL-20220501,P0340,WH-CENTRAL,2022-05-01,841,143,False
INV-P0421-WH-CENTRAL-20231222,P0421,WH-CENTRAL,2023-12-22,301,115,False
INV-P0024-WH-CENTRAL-20220531,P0024,WH-CENTRAL,2022-05-31,107,23,False
INV-P0437-WH-CENTRAL-20221227,P0437,WH-CENTRAL,2022-12-27,1039,55,False
INV-P0398-WH-EAST-20221127,P0398,WH-EAST,2022-11-27,211,114,False
INV-P0249-WH-EAST-20230526,P0249,WH-EAST,2023-05-26,679,56,False
INV-P0412-WH-SOUTH-20220302,P0412,WH-SOUTH,2022-03-02,761,150,False
INV-P0243-WH-CENTRAL-20221028,P0243,WH-CENTRAL,2022-10-28,864,77,False
INV-P0317-WH-WEST-20221227,P0317,WH-WEST,2022-12-27,1211,60,False
INV-P0220-WH-SOUTH-20231122,P0220,WH-SOUTH,2023-11-22,730,146,False
INV-P0321-WH-WEST-20220730,P0321,WH-WEST,2022-07-30,187,149,False
INV-P0101-WH-WEST-20220501,P0101,WH-WEST,2022-05-01,602,25,False
INV-P0175-WH-EAST-20230426,P0175,WH-EAST,2023-04-26,719,23,False
INV-P0126-WH-EAST-20231023,P0126,WH-EAST,2023-10-23,1549,50,False
INV-P0020-WH-EAST-20231222,P0020,WH-EAST,2023-12-22,915,98,False
INV-P0046-WH-WEST-20221227,P0046,WH-WEST,2022-12-27,683,127,False
